14:24:06.986813 wlan0 Out IP 192.168.31.37.41436 > 176.114.120.24.443: Flags [P.], seq 3745138721:3745139238, ack 3413803084, win 128, options [nop,nop,TS val 4125742981 ecr 2005882521], length 517
14:24:07.021259 wlan0 In  IP 176.114.120.24.443 > 192.168.31.37.41436: Flags [.], seq 1:1389, ack 517, win 84, options [nop,nop,TS val 2005882524 ecr 4125742981], length 1388
14:24:14.128013 wlan0 Out IP 192.168.31.37.46734 > 176.114.120.40.443: Flags [P.], seq 1687824766:1687825309, ack 1135686041, win 128, options [nop,nop,TS val 2334678752 ecr 283253205], length 543
14:24:14.167152 wlan0 In  IP 176.114.120.40.443 > 192.168.31.37.46734: Flags [P.], seq 1:239, ack 543, win 84, options [nop,nop,TS val 283253206 ecr 2334678752], length 238
14:24:27.421972 wlan0 Out IP 192.168.31.37.49242 > 90.156.232.26.443: Flags [P.], seq 430752402:430752923, ack 2547560132, win 128, options [nop,nop,TS val 1876936973 ecr 2575028125], length 521
14:24:27.456121 wlan0 In  IP 90.156.232.26.443 > 192.168.31.37.49242: Flags [.], seq 1:1429, ack 521, win 84, options [nop,nop,TS val 2575028164 ecr 1876936973], length 1428
14:24:44.258086 wlan0 Out IP 192.168.31.37.42740 > 213.180.193.226.443: Flags [P.], seq 2252319054:2252319572, ack 3811676496, win 128, options [nop,nop,TS val 2402656783 ecr 1087478271], length 518
14:24:44.290408 wlan0 In  IP 213.180.193.226.443 > 192.168.31.37.42740: Flags [.], seq 1:1209, ack 518, win 168, options [nop,nop,TS val 1087478310 ecr 2402656783], length 1208
14:24:44.329964 wlan0 Out IP 192.168.31.37.42740 > 213.180.193.226.443: Flags [P.], seq 518:611, ack 3693, win 143, options [nop,nop,TS val 2402656855 ecr 1087478310], length 93
14:24:44.364095 wlan0 In  IP 213.180.193.226.443 > 192.168.31.37.42740: Flags [P.], seq 3693:3983, ack 611, win 168, options [nop,nop,TS val 1087478383 ecr 2402656855], length 290
14:25:09.485956 wlan0 In  IP 176.114.124.5.443 > 192.168.31.37.39074: Flags [P.], seq 3751538737:3751538799, ack 1539913546, win 158, options [nop,nop,TS val 1622068142 ecr 2577645025], length 62
14:25:23.977766 wlan0 Out IP 192.168.31.37.48404 > 142.251.143.138.443: Flags [P.], seq 3354049156:3354049673, ack 2587390320, win 128, options [nop,nop,TS val 684775757 ecr 2093778923], length 517
14:25:24.089501 wlan0 In  IP 142.251.143.138.443 > 192.168.31.37.48404: Flags [P.], seq 1:157, ack 517, win 1050, options [nop,nop,TS val 2093778989 ecr 684775757], length 156
14:25:24.810498 wlan0 Out IP 192.168.31.37.48412 > 142.251.143.138.443: Flags [P.], seq 3576149029:3576149546, ack 544362339, win 128, options [nop,nop,TS val 684776590 ecr 1315840211], length 517
14:25:24.869321 wlan0 In  IP 142.251.143.138.443 > 192.168.31.37.48412: Flags [P.], seq 1:157, ack 517, win 1050, options [nop,nop,TS val 1315840273 ecr 684776590], length 156
14:25:24.952729 wlan0 Out IP 192.168.31.37.37458 > 216.58.207.202.443: Flags [P.], seq 3664884754:3664885271, ack 3307939162, win 128, options [nop,nop,TS val 180750054 ecr 4027218857], length 517
14:25:25.009747 wlan0 In  IP 216.58.207.202.443 > 192.168.31.37.37458: Flags [.], seq 1:1401, ack 517, win 1050, options [nop,nop,TS val 4027218917 ecr 180750054], length 1400
14:25:27.483347 wlan0 Out IP 192.168.31.37.44018 > 90.156.232.26.443: Flags [P.], seq 1366999812:1367000333, ack 1645879919, win 128, options [nop,nop,TS val 1876997034 ecr 289157206], length 521
14:25:27.516136 wlan0 In  IP 90.156.232.26.443 > 192.168.31.37.44018: Flags [.], seq 1:1429, ack 521, win 84, options [nop,nop,TS val 289157247 ecr 1876997034], length 1428
14:25:31.464798 wlan0 Out IP 192.168.31.37.40896 > 176.114.122.40.443: Flags [P.], seq 2872156222:2872156765, ack 3701724328, win 128, options [nop,nop,TS val 4230020891 ecr 2153200555], length 543
14:25:31.499495 wlan0 In  IP 176.114.122.40.443 > 192.168.31.37.40896: Flags [.], seq 1:1389, ack 543, win 84, options [nop,nop,TS val 2153200557 ecr 4230020891], length 1388

